Lead Investor,Deals,Avg Round Size (USD),Companies,Min Announced Date,Max Announced Date
Global Venture Capital,1,31000000,Root,2022-01-26,2022-01-26
Goldman Sachs,1,8000000,Immersive,2019-01-14,2019-01-14
Google,1,29000000,Isovalent,2020-11-10,2020-11-10
Graphene Ventures,1,13000000,Segura®,2022-12-06,2022-12-06
GreenPoint Partners,1,15000000,Zerv,2021-06-29,2021-06-29
Greenfield Cities Holdings,1,14900000,Avanan,2016-05-17,2016-05-17
Gresham House Ventures,1,6999219,OnSecurity,2024-06-10,2024-06-10
Greycroft,1,21000000,Iru,2020-10-28,2020-10-28
Group 11,1,33600000,Dream,2023-11-21,2023-11-21
Guggenheim Investments,1,30000000,Rezilion,2021-09-13,2021-09-13
HCM Capital,1,7000000,Cambridge Blockchain,2018-05-16,2018-05-16
HLM Venture Partners,1,7800000,Censinet,2019-04-22,2019-04-22
Hanaco Venture Capital,1,6500000,Sepio,2019-11-07,2019-11-07
Hanwha Aerospace,1,9000000,infiniDome,2023-04-24,2023-04-24
Harmony Partners,1,20000000,Randori,2020-04-23,2020-04-23
Harvest Lane Asset Management,1,11500000,Votiro,2023-03-30,2023-03-30
Headline,1,30000000,Notch,2026-03-25,2026-03-25
Helion Venture Partners,1,6000000,Seclore,2013-04-24,2013-04-24
Hewlett Packard Pathfinder,1,8000000,Hexadite,2016-02-10,2016-02-10
Hi Inov - Dentressangle,1,6555944,ANOZR WAY,2024-03-12,2024-03-12
High Alpha,1,8800000,Verisoul,2025-12-16,2025-12-16
IA Ventures,1,6558048,Gospel Technology,2018-09-24,2018-09-24
IDG Capital,1,7700000,CertiK,2020-06-03,2020-06-03
IN Venture,1,8000000,GK8 by Galaxy,2020-10-01,2020-10-01
IVP,1,25000000,Venice,2025-12-01,2025-12-01
Iberis Capital,1,7520883,Probely,2022-10-13,2022-10-13
Ibex Investors,1,7000000,Cynet,2016-02-10,2016-02-10
Idinvest Partners,1,14685698,Alsid,2019-04-17,2019-04-17
Impact46,1,9200000,Cognna,2025-12-02,2025-12-02
Information Venture Partners,1,8000000,Strike Graph,2021-09-14,2021-09-14
Inkef,1,6339955,EclecticIQ,2016-05-02,2016-05-02
Innovation Endeavors,1,16000000,Authomize (Now part of Delinea),2021-05-13,2021-05-13
Invest Tech,1,6968857,Skyone,2018-01-05,2018-01-05
Invictus Growth Partners,1,30000000,PeerSpot,2021-10-06,2021-10-06
Invoke Capital,1,18000000,Darktrace,2015-03-17,2015-03-17
Iron Wolf Capital,1,7072553,CyberUpgrade,2026-02-19,2026-02-19
JAFCO,1,11000000,Trillium Secure,2018-07-04,2018-07-04
JIF Capital,1,12900000,TXOne Networks,2021-08-19,2021-08-19
Javelin Venture Partners,1,11000000,Spikes Security,2014-10-22,2014-10-22
Jeneration Capital,1,13000000,Datacloak,2020-01-07,2020-01-07
Jungle Ventures,1,12000000,Dathena Science,2020-05-13,2020-05-13
K1 Investment Management,1,6500000,IRONSCALES,2017-12-05,2017-12-05
KDDI Open Innovation Fund,1,11854878,Noxtua,2021-08-09,2021-08-09
KOMPAS VC,1,19000000,Backslash Security,2026-02-10,2026-02-10
KPMG,1,11400000,Norse,2015-09-30,2015-09-30
KREAXI,1,11354475,Sentryo,2018-12-03,2018-12-03
Kassabov|Santos Ventures,1,13000000,Fortress Information Security,2017-12-31,2017-12-31
Kayne Anderson Growth Capital,1,12000000,PROFICIO,2016-11-27,2016-11-27
Keen Venture Partners,1,9912025,Bodyguard,2022-03-10,2022-03-10
Keith Rabois,1,13000000,At-Bay,2018-05-09,2018-05-09
Koch Disruptive Technologies,1,30000000,Beyond Identity,2020-04-14,2020-04-14
Korea Investment Partners,1,7000000,StealthMole,2024-03-28,2024-03-28
Koro Capital,1,20000000,Baselayer,2026-08-10,2026-08-10
L.P.,1,14900000,Avanan,2016-05-17,2016-05-17
Lachy Groom,1,15000000,WorkOS,2020-05-27,2020-05-27
Lakewood & Company,1,11000000,Spikes Security,2014-10-22,2014-10-22
Laurent Dassault,1,6228848,GEOSATIS,2017-07-03,2017-07-03
Layer 7 Capital,1,7000000,CloudFirst,2017-12-14,2017-12-14
Leawood Venture Capital,1,6000000,Adlumin,2020-09-28,2020-09-28
Liberty City Ventures,1,40000000,MPCH,2022-09-27,2022-09-27
Lucky Investment Managers,1,12000000,Pantherun Technologies,2025-10-10,2025-10-10
Lux Capital,1,7500000,Nozomi Networks,2016-10-24,2016-10-24
MAIF Avenir,1,7000000,Ledger,2017-03-30,2017-03-30
MML Capital Partners,1,24868611,Roboyo,2020-09-15,2020-09-15
MS&AD Ventures,1,7000000,Safe Security,2019-12-04,2019-12-04
MState - Not Making New Investments,1,16000000,Fireblocks,2019-06-11,2019-06-11
Magma Venture Partners,1,12000000,Cylus,2019-01-16,2019-01-16
Malibu Ventures,1,9700000,Podium Data,2016-09-26,2016-09-26
Maor Investments,1,28000000,OneLayer,2025-10-16,2025-10-16
Marc Benioff,1,11700000,Averon,2018-03-21,2018-03-21
March Capital,1,21000000,Xage Security,2018-12-28,2018-12-28
Marius Nacht,1,10000000,SECDO,2016-12-06,2016-12-06
Matrix,1,8000000,Kolide,2018-04-16,2018-04-16
Maven Capital Partners,1,6648954,Approov,2025-08-04,2025-08-04
McKinsey & Company,1,10000000,Praetorian,2020-02-13,2020-02-13
Medici Ventures,1,7000000,Voatz,2019-06-06,2019-06-06
Mercato Partners,1,15500000,SaltStack,2018-02-14,2018-02-14
Mercia Fund Managers,1,7054077,Moonshot,2021-06-03,2021-06-03
Merck Global Health Innovation Fund,1,30000000,Liaison Technologies,2012-04-10,2012-04-10
Mercury Fund,1,10300000,Blumira,2021-08-18,2021-08-18
Merlin Ventures,1,6500000,Sepio,2019-11-07,2019-11-07
Miramar Ventures,1,6300000,Protego Networks,2004-01-16,2004-01-16
Mohr Davidow Ventures,1,6500000,Proofpoint,2003-01-02,2003-01-02
Moneta Ventures,1,6000000,PeakMetrics,2026-04-09,2026-04-09
Moore Strategic Ventures,1,7500000,Black Kite,2020-10-06,2020-10-06
Mosaic Ventures,1,7700000,Veriff,2018-06-19,2018-06-19
Mosaik Partners,1,8600000,PeerNova,2014-12-17,2014-12-17
Mount Morning Capital,1,31600000,315Net,2018-03-14,2018-03-14
Move Capital,1,17116508,GATEWATCHER,2022-02-10,2022-02-10
NATO Innovation Fund,1,15000000,RevEng,2026-05-27,2026-05-27
NAventures,1,37000000,Memcyco,2026-01-27,2026-01-27
NTT Venture Capital,1,10000000,Spyderbat,2022-10-24,2022-10-24
Naspers,1,15000000,Immutable Systems,2019-09-23,2019-09-23
Nat Friedman,1,22000000,XBOW,2025-01-01,2025-01-01
National Quantum Mission,1,7095452,QNu Labs,2025-04-30,2025-04-30
Nationwide Ventures,1,16000000,Deep Sentinel,2020-03-03,2020-03-03
Nava Ventures,1,20000000,Hydrolix,2023-06-05,2023-06-05
New Era Capital Partners,1,15500000,Apono,2024-09-30,2024-09-30
NewSpring,1,29000000,Venn,2023-06-28,2023-06-28
NextLeap Ventures,1,7400000,ShieldIOT,2021-11-19,2021-11-19
Northgate Capital,1,12500000,Valtix,2021-01-21,2021-01-21
Notion Capital,1,11000000,Resistant AI,2023-06-27,2023-06-27
Nyca Partners,1,18000000,Utila,2025-03-19,2025-03-19
Oak HC/FT,1,15000000,Panorays,2019-12-04,2019-12-04
Oak Investment Partners,1,10000000,Norse,2013-12-12,2013-12-12
Oleka Capital,1,8200000,Onlayer,2025-11-19,2025-11-19
Omidyar Network India,1,8000000,Sequretek,2023-11-07,2023-11-07
Omnes Capital,1,11354475,Sentryo,2018-12-03,2018-12-03
Open Opportunity Fund,1,7500000,Lumu,2021-03-10,2021-03-10
Orchard Holdings Group,1,10000000,Morphick Cyber Security,2015-09-21,2015-09-21
Osage Venture Partners,1,7007586,Dataships,2025-01-05,2025-01-05
Ott Kaukver,1,8500000,Arcjet,2025-10-08,2025-10-08
OurCrowd,1,10000000,BioCatch,2014-06-17,2014-06-17
P&I Investment,1,14286360,CLUSH,2024-11-20,2024-11-20
PGV,1,17500000,DeNexus,2024-10-16,2024-10-16
PRYTEK,1,20000000,ThriveDX,2017-02-04,2017-02-04
PSP Growth,1,10000000,WireWheel.io,2018-10-25,2018-10-25
PTB Ventures,1,35000000,Callsign,2018-03-12,2018-03-12
Pace Capital,1,9904105,NetBird,2026-01-13,2026-01-13
Paradigm,1,18000000,Privy,2023-11-21,2023-11-21
Parallax Ventures,1,14547303,CAF,2022-07-21,2022-07-21
Parkwalk Advisors,1,7153451,Crypto Quantique,2022-07-06,2022-07-06
Partners Investment,1,6408603,Quad Miners,2022-06-10,2022-06-10
Peak XV Partners,1,19000000,watchTowr,2024-10-07,2024-10-07
Pelion Venture Partners,1,12000000,Rubicon Labs,2014-10-29,2014-10-29
Pembroke VCT,1,6701631,CybaVerse,2025-10-15,2025-10-15
Pivotal Group,1,8200000,CYR3CON,2020-07-14,2020-07-14
Plural Platform,1,8500000,Arcjet,2025-10-08,2025-10-08
Point72 Ventures,1,18500000,Permiso Security,2024-04-03,2024-04-03
Polychain,1,30000000,Origo,2018-05-31,2018-05-31
Preface Ventures,1,14000000,Feroot Security,2025-11-18,2025-11-18
Prefix Capital,1,15000000,Symmetry Systems,2021-06-23,2021-06-23
Prelude Fund,1,10000000,Cyware,2020-08-18,2020-08-18
Primavera Capital Group,1,15000000,Blackpanda,2023-01-18,2023-01-18
Prime Movers Lab,1,13000000,FORT Robotics,2021-03-18,2021-03-18
Primo Capital,1,8000000,Quantum Bridge,2026-05-20,2026-05-20
Propel,1,15000000,Truora,2022-04-04,2022-04-04
Prosus Ventures,1,18000000,Borneo,2021-09-06,2021-09-06
Purestone Capital,1,12900000,TXOne Networks,2021-08-19,2021-08-19
QED Investors,1,13000000,One Footprint,2024-05-21,2024-05-21
Qiming Venture Partners,1,7817830,IDsManager,2018-06-11,2018-06-11
Quantonation,1,11982845,CryptoNext Security,2023-11-30,2023-11-30
Quantstamp,1,16000000,Hypernative,2024-09-03,2024-09-03
Quona Capital,1,12000000,Bureau,2021-12-16,2021-12-16
Qure Ventures,1,10000000,CyberMDX,2018-07-17,2018-07-17
RDC - Rafael Development Corporation,1,10000000,SECDO,2016-12-06,2016-12-06
Redstone.VC,1,7012369,Exein,2021-09-22,2021-09-22
Rembrandt Venture Partners,1,9000000,enSilo,2016-02-25,2016-02-25
Ring Capital,1,9912025,Bodyguard,2022-03-10,2022-03-10
Riverside Acceleration Capital,1,21000000,CyberSaint Security,2024-03-20,2024-03-20
Road Ventures,1,14500000,Alto,2019-01-22,2019-01-22
Rocket Strategies Inc.,1,8000000,BlastWave,2018-10-15,2018-10-15
S32,1,35000000,Sola Security,2025-09-04,2025-09-04
Sahasrar Capital,1,12000000,Pantherun Technologies,2025-10-10,2025-10-10
Sands Capital Ventures,1,10206991,LimaCharlie,2024-02-08,2024-02-08
Sapphire Ventures,1,10000000,StackHawk,2020-10-27,2020-10-27
Savant Growth,1,30000000,FileCloud,2021-12-14,2021-12-14
Semapa Next,1,7520883,Probely,2022-10-13,2022-10-13
Serena,1,11300000,CybelAngel,2018-10-11,2018-10-11
Shine Capital,1,12000000,iVerify,2024-06-26,2024-06-26
Signal Peak Ventures,1,6100000,Monarx,2023-02-23,2023-02-23
Silversmith Capital Partners,1,15000000,Northbeam,2022-08-16,2022-08-16
Singular,1,17000000,Aikido Security,2024-05-01,2024-05-01
Smedvig Ventures,1,10000000,CultureAI,2024-07-17,2024-07-17
Smilegate Investment,1,10000000,SEWORKS,2016-12-01,2016-12-01
Social Capital,1,6000000,CryptoMove,2018-02-12,2018-02-12
SonicWALL,1,10000000,Perimeter 81,2019-11-21,2019-11-21
Sopra Steria,1,11354475,Sentryo,2018-12-03,2018-12-03
Standard Capital,1,13000000,Casco,2026-07-16,2026-07-16
Standard Investments,1,30000000,Sentra,2023-01-31,2023-01-31
Stata Venture Partners (SVP),1,6000000,Nantero,2001-10-01,2001-10-01
Steel Connect,1,25000000,MobileLogic,2000-04-04,2000-04-04
Summit Partners,1,10000000,RiskIQ,2013-07-18,2013-07-18
Supernova Invest,1,13705013,CrowdSec,2022-10-06,2022-10-06
Systena America,1,10000000,StrongKey,2018-10-09,2018-10-09
TDF Ventures,1,11000000,BlackCloak,2021-07-29,2021-07-29
TLV Partners,1,11500000,Silverfort,2018-06-25,2018-06-25
TPG Growth,1,14900000,Avanan,2016-05-17,2016-05-17
Talis Capital,1,18000000,Darktrace,2015-03-17,2015-03-17
Tanglin Venture Partners,1,8900000,Ennoventure,2024-11-12,2024-11-12
Tanium,1,10000000,Cyware,2020-08-18,2020-08-18
Taronga Ventures,1,15000000,Zerv,2021-06-29,2021-06-29
Tenfore Holdings,1,6000000,Threater,2019-02-20,2019-02-20
The Fabric,1,25000000,Cloudbrink,2022-11-15,2022-11-15
The Investor Group,1,25000000,MobileLogic,2000-04-04,2000-04-04
Third Point Ventures,1,12000000,Rubicon Labs,2014-10-29,2014-10-29
Thomvest Ventures,1,10000000,Bolster AI,2019-08-23,2019-08-23
Tola Capital,1,11716424,Code Intelligence,2022-06-01,2022-06-01
TomorrowVentures,1,6000000,Shape Security,2012-04-26,2012-04-26
Tongchuang Albert,1,15384852,HUAUN,2021-03-15,2021-03-15
Touchstone Innovations,1,14686624,Garrison Technology,2017-03-06,2017-03-06
Trident Capital,1,14000000,Survela,2016-08-03,2016-08-03
Trinity Ventures,1,9000000,Bulletproof,2015-06-23,2015-06-23
Turkcell,1,8588739,Procenne,2022-08-24,2022-08-24
UVC Partners,1,6677789,Enginsight,2024-09-25,2024-09-25
United Ventures,1,10753208,Cleafy,2023-09-12,2023-09-12
Updata Partners,1,20000000,Shufti,2022-03-15,2022-03-15
Upfront Ventures,1,6500000,ellipse,2018-12-21,2018-12-21
VINGroup,1,17000000,VinCSS Cybersecurity,2018-06-10,2018-06-10
Valley Capital Partners,1,13200000,Stellar Cyber,2019-02-26,2019-02-26
Valor Equity Partners,1,10000000,Coalition,2018-03-01,2018-03-01
VenturEast,1,6000000,Seclore,2013-04-24,2013-04-24
Verizon Ventures,1,6000000,Avathon,2016-04-26,2016-04-26
Vertex Ventures US,1,13000000,Cyberhaven,2019-12-05,2019-12-05
Viola FinTech,1,13705326,Baobab,2025-06-04,2025-06-04
Vision Plus Capital,1,12584245,Yige Cloud Technology,2022-11-24,2022-11-24
Vocap Partners,1,10500000,YourSix,2024-06-13,2024-06-13
Vulcan Capital,1,18000000,Borneo,2021-09-06,2021-09-06
Vy Capital,1,10000000,Coalition,2018-03-01,2018-03-01
Walter Ventures,1,7000000,Pistachio,2025-04-29,2025-04-29
Wa’ed Ventures,1,9000000,spiderSilk,2023-11-01,2023-11-01
West Hill Capital,1,13000000,SafeToNet,2018-06-01,2018-06-01
Wipro,1,20000000,SquareX,2025-04-24,2025-04-24
YL Ventures,1,17000000,Miggo Security,2025-04-23,2025-04-23
Yaletown Partners,1,6000000,Oloid,2024-10-24,2024-10-24
Yoni Cheifetz,1,13000000,At-Bay,2018-05-09,2018-05-09
Zeev Ventures,1,20000000,Reco,2022-06-03,2022-06-03
Zobito,1,7747948,CyberVadis,2023-05-03,2023-05-03
Zohar Zisapel,1,10000000,Radiflow,2011-11-11,2011-11-11
boldstart ventures,1,7000000,Snyk,2018-03-06,2018-03-06
lobby capital,1,12000000,Mesh Security,2026-01-28,2026-01-28
